ticker,name,asset_type,dividends,currency,isin,source,source_file_path,active,start_date,end_date,notes
AFL.L,ARTEMIS UK FUTURE LEADERS PLC ORD 20P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
REL.L,RELX PLC ORD 14 51/116P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SRP.L,SERCO GROUP PLC ORD 2P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
NCC.L,NCC GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BNZL.L,BUNZL PLC ORD 32 1/7P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
IMB.L,IMPERIAL BRANDS PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RMV.L,RIGHTMOVE PLC ORD 0.1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
NG.L,NATIONAL GRID PLC ORD 12 204/473P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SMIN.L,SMITHS GROUP PLC ORD 37.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
IMI.L,IMI PLC ORD 28 4/7P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SVT.L,SEVERN TRENT PLC ORD 97 17/19P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BWY.L,BELLWAY PLC ORD 12.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
UU.L,UNITED UTILITIES GROUP PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
THRL.L,TARGET HEALTHCARE REIT PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CWK.L,CRANSWICK PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
OXIG.L,OXFORD INSTRUMENTS PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BA.L,BAE SYSTEMS PLC ORD 2.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SXS.L,SPECTRIS PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BKG.L,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.6110477936P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
LTI.L,LINDSELL TRAIN INVESTMENT TRUST PLC ORD 75P,uk stock,Y,GBP,,yfinance,-,Y,,,LSE : FTSE All-Share
HAS.L,HAYS PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PHP.L,PRIMARY HEALTH PROPERTIES PLC ORD 12.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HMSO.L,HAMMERSON PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BTRW.L,BARRATT REDROW PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
WIX.L,WICKES GROUP PLC ORD GBP0.10,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
VP.L,VP PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ABF.L,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SSE.L,SSE PLC ORD 50P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
WPP.L,WPP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CCH.L,COCA-COLA HBC AG ORD CHF6.70 (CDI),uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TRY.L,TR PROPERTY INV TST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DCC.L,DCC PLC ORD EUR0.25 (CDI),uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SHC.L,SHAFTESBURY CAPITAL PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
STB.L,SECURE TRUST BANK PLC ORD 40P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CHG.L,CHEMRING GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RCP.L,RIT CAPITAL PARTNERS PLC ORD �1,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
FJV.L,FIDELITY JAPAN TRUST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ULVR.L,UNILEVER PLC ORD 3 1/9P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SEQI.L,SEQUOIA ECONOMIC INFRASTRUCTURE INC ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PFD.L,PREMIER FOODS PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RNK.L,RANK GROUP PLC ORD 13 8/9P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
JFJ.L,JPMORGAN JAPANESE INV. TRUST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
